transaction_id,sender_id,receiver_id,amount,timestamp
T3616,A00079,A00351,2821.21,2026-01-18 00:47:00
T2537,A00063,A00189,475.01,2026-01-05 18:55:00
T5398,A00220,A00245,3500.35,2026-01-22 13:40:00
T9983,MULE009,MULE005,8493.0,2026-01-14 06:57:00
T1499,A00251,A00270,3157.46,2026-01-27 20:45:00
T8499,MULE015,MULE002,8161.0,2026-01-07 15:13:00
T2255,A00025,A00010,1858.06,2026-01-12 20:52:00
T8687,MULE017,MULE019,8066.0,2026-01-18 01:12:00
T7933,A00080,MULE006,9097.85,2026-01-26 00:41:00
T4607,A00243,A00336,265.8,2026-01-08 02:58:00
T469,A00220,A00001,3112.57,2026-01-11 22:45:00
T12564,SHELL004,A00270,4670.95,2026-01-16 17:05:00
T12798,SHELL008,A00368,10188.79,2026-01-23 20:59:00
T8830,MULE019,MULE005,8863.0,2026-01-29 03:46:00
T2145,A00223,A00396,4607.95,2026-01-21 15:34:00
T5280,A00213,A00196,3054.64,2026-01-14 07:36:00
T7529,A00283,MULE011,9956.86,2026-01-23 10:28:00
T7728,A00179,MULE016,9847.92,2026-01-21 08:16:00
T1352,A00328,A00254,2250.96,2026-01-10 04:19:00
T9277,MULE020,MULE012,8045.0,2026-01-04 07:19:00
T9186,MULE020,MULE019,8781.0,2026-01-11 07:16:00
T12602,SHELL015,A00074,8429.17,2026-01-28 10:53:00
T5717,A00209,A00076,3233.4,2026-01-15 03:50:00
T12782,SHELL018,A00282,3201.14,2026-01-27 07:09:00
T9,A00175,A00143,861.85,2026-01-16 07:39:00
T4768,A00183,A00386,2316.54,2026-01-08 11:27:00
T2819,A00393,A00059,4334.42,2026-01-12 06:10:00
T8911,MULE004,MULE011,8944.0,2026-01-04 01:09:00
T4873,A00166,A00116,292.13,2026-01-19 12:10:00
T10988,MULE020,MULE010,8390.0,2026-01-14 15:18:00
T10350,MULE007,MULE005,8511.0,2026-01-30 07:45:00
T10582,MULE018,MULE019,8930.0,2026-01-25 22:20:00
T8986,MULE006,MULE016,8052.0,2026-01-28 01:11:00
T11935,MULE007,SHELL004,1321.62,2026-01-29 23:45:00
T7458,A00163,MULE005,9907.73,2026-01-04 10:00:00
T512,A00232,A00089,4503.53,2026-01-21 06:10:00
T1670,A00290,A00372,3423.17,2026-01-26 06:24:00
T8517,MULE006,MULE009,8428.0,2026-01-17 07:42:00
T8288,MULE014,MULE002,8220.0,2026-01-13 19:12:00
T354,A00336,A00334,4400.76,2026-01-26 02:12:00
T1143,A00248,A00292,3424.13,2026-01-09 05:59:00
T6743,A00089,A00154,3516.93,2026-01-02 20:58:00
T5420,A00356,A00385,1239.55,2026-01-15 18:13:00
T5744,A00070,A00123,1902.92,2026-01-27 18:48:00
