transaction_id,sender_id,receiver_id,amount,timestamp
TXN4001,CUST_1,MERCHANT_MAIN,2763,2026-03-04 09:01:00
TXN4002,CUST_2,MERCHANT_MAIN,2438,2026-03-04 09:02:00
TXN4003,CUST_3,MERCHANT_MAIN,4696,2026-03-04 09:03:00
TXN4004,CUST_4,MERCHANT_MAIN,2753,2026-03-04 09:04:00
TXN4005,CUST_5,MERCHANT_MAIN,4854,2026-03-04 09:05:00
TXN4006,MULE_A_4,MULE_B_4,49000,2026-03-04 10:00:00
TXN4007,MULE_B_4,MULE_C_4,48500,2026-03-04 10:10:00
TXN4008,MULE_C_4,MULE_A_4,48000,2026-03-04 10:20:00
TXN4009,SMURF_4_1,AGG_4,49500,2026-03-04 11:01:00
TXN4010,SMURF_4_2,AGG_4,49500,2026-03-04 11:02:00
TXN4011,SMURF_4_3,AGG_4,49500,2026-03-04 11:03:00
TXN4012,SMURF_4_4,AGG_4,49500,2026-03-04 11:04:00
TXN4013,SMURF_4_5,AGG_4,49500,2026-03-04 11:05:00
TXN4014,SMURF_4_6,AGG_4,49500,2026-03-04 11:06:00
TXN4015,SMURF_4_7,AGG_4,49500,2026-03-04 11:07:00
TXN4016,SMURF_4_8,AGG_4,49500,2026-03-04 11:08:00
TXN4017,SMURF_4_9,AGG_4,49500,2026-03-04 11:09:00
TXN4018,SMURF_4_10,AGG_4,49500,2026-03-04 11:10:00
TXN4019,AGG_4,CASHOUT_4,480000,2026-03-04 13:00:00
